"","District","room_id","host_id","room_type","reviews","overall_satisfaction","price","minstay","latitude","longitude","rate"
"94","Allston/Brighton",14650655,2356643,"Entire home/apt",12,4.5,125,2,42.362744,-71.129071,10.6537594837127
"95","Allston/Brighton",13327034,19548932,"Private room",10,4.7,77,1,42.358607,-71.130575,10.6537594837127
"96","Allston/Brighton",4890682,25163092,"Entire home/apt",3,4,175,3,42.33851,-71.151578,10.6537594837127
"97","Allston/Brighton",4106372,757253,"Entire home/apt",42,4.5,268,2,42.3528124,-71.1263027,10.6537594837127
"98","Allston/Brighton",6838488,14785487,"Entire home/apt",5,4.2,500,4,42.357695,-71.128695,10.6537594837127
"99","Allston/Brighton",13345701,19548932,"Private room",18,4.4,78,1,42.3588561666667,-71.1298031666667,10.6537594837127
"100","Allston/Brighton",4909590,25279966,"Entire home/apt",85,5,111,2,42.350493,-71.133281,10.6537594837127
"101","Allston/Brighton",13355213,25149641,"Shared room",3,5,59,1,42.349999,-71.133253,10.6537594837127
"102","Allston/Brighton",10021398,20327499,"Private room",17,4.6,71,1,42.351706875,-71.1375555,10.6537594837127
"103","Allston/Brighton",8644473,2346094,"Private room",5,4.8,61,1,42.354429,-71.129278,10.6537594837127
"104","Allston/Brighton",716245,3690995,"Entire home/apt",80,4.5,125,2,42.34502,-71.168142,10.6537594837127
"105","Allston/Brighton",13374823,7198154,"Private room",3,5,85,1,42.340147,-71.148001,10.6537594837127
"106","Allston/Brighton",4930426,799496,"Private room",2,5,110,1,42.351901,-71.121792,10.6537594837127
"107","Allston/Brighton",13375092,7198154,"Private room",8,5,85,2,42.338797,-71.147976,10.6537594837127
"108","Allston/Brighton",2411064,11911583,"Entire home/apt",13,5,350,2,42.361831,-71.129245,10.6537594837127
"109","Allston/Brighton",3668038,739438,"Private room",15,5,72,1,42.347726,-71.166583,10.6537594837127
"110","Allston/Brighton",15010440,82376270,"Private room",9,4.5,98,1,42.352427,-71.133803,10.6537594837127
"111","Allston/Brighton",7647836,14004174,"Entire home/apt",1,3,250,3,42.340433,-71.159352,10.6537594837127
"112","Allston/Brighton",4964365,6104365,"Entire home/apt",4,4.5,180,1,42.347355,-71.137387,10.6537594837127
"113","Allston/Brighton",1815326,9508341,"Private room",118,4.5,99,1,42.3551013,-71.1624738,10.6537594837127
"114","Allston/Brighton",13391054,2205295,"Entire home/apt",4,4.5,100,2,42.351688,-71.13384,10.6537594837127
"115","Allston/Brighton",14231732,6868321,"Entire home/apt",6,4.5,110,1,42.350462,-71.129505,10.6537594837127
"116","Allston/Brighton",12052820,7855516,"Entire home/apt",8,4,133,2,42.346822,-71.139186,10.6537594837127
"117","Allston/Brighton",9114896,43777733,"Entire home/apt",21,4.7,132,2,42.353892,-71.159544,10.6537594837127
"118","Allston/Brighton",6476613,33835566,"Private room",1,5,60,1,42.352445,-71.137151,10.6537594837127
"119","Allston/Brighton",1839549,8139434,"Private room",50,4.5,71,1,42.352311,-71.136552,10.6537594837127
"120","Allston/Brighton",8704828,5235073,"Private room",28,4.5,66,1,42.351278875,-71.1262635,10.6537594837127
"121","Allston/Brighton",217498,1123263,"Private room",114,5,107,2,42.352573,-71.150565,10.6537594837127
"122","Allston/Brighton",8029788,42396951,"Entire home/apt",1,5,200,1,42.347746,-71.138702,10.6537594837127
"123","Allston/Brighton",6050928,2092815,"Private room",3,4.5,59,2,42.35631,-71.158306,10.6537594837127
"124","Allston/Brighton",10706413,49741901,"Private room",9,4.7,80,1,42.353461,-71.132662,10.6537594837127
"125","Allston/Brighton",10723203,15913699,"Private room",5,4.5,81,1,42.350588,-71.129477,10.6537594837127
"126","Allston/Brighton",15057689,67831264,"Private room",4,5,52,1,42.353322,-71.129411,10.6537594837127
"127","Allston/Brighton",2555771,11474005,"Entire home/apt",7,4.9,150,2,42.359635,-71.14318,10.6537594837127
"128","Allston/Brighton",14754108,7613147,"Private room",4,5,75,1,42.353536,-71.144146,10.6537594837127
"129","Allston/Brighton",13578093,30489899,"Private room",3,4,40,5,42.354977,-71.138735,10.6537594837127
"130","Allston/Brighton",466361,2315920,"Entire home/apt",45,4.5,80,1,42.361078,-71.142325,10.6537594837127
"131","Allston/Brighton",13823183,45369382,"Private room",8,4,59,1,42.351256,-71.125443,10.6537594837127
"132","Allston/Brighton",13823860,45369382,"Private room",4,5,59,1,42.351538,-71.126663,10.6537594837127
"133","Allston/Brighton",13446472,76579549,"Private room",3,4.5,45,5,42.352366,-71.129473,10.6537594837127
"134","Allston/Brighton",13828552,45369382,"Entire home/apt",5,4.5,159,1,42.351027,-71.125122,10.6537594837127
"135","Allston/Brighton",8742890,45865686,"Private room",16,4.7,41,1,42.340566,-71.151916,10.6537594837127
"136","Allston/Brighton",8742954,45865686,"Private room",12,4.9,43,1,42.341344,-71.152466,10.6537594837127
"137","Allston/Brighton",13451383,49741901,"Private room",6,4.8,80,2,42.354177,-71.132616,10.6537594837127
"138","Allston/Brighton",8751275,5235073,"Private room",46,4.5,60,1,42.351792,-71.126901,10.6537594837127
"139","Allston/Brighton",8753559,13004639,"Private room",13,5,50,1,42.350742,-71.169953,10.6537594837127
"140","Allston/Brighton",3860211,19917804,"Private room",1,3,55,15,42.348773,-71.135712,10.6537594837127
"141","Allston/Brighton",5085125,5235073,"Private room",120,4.5,70,1,42.3507643333333,-71.1276066666667,10.6537594837127
"142","Allston/Brighton",3866526,8139434,"Private room",18,5,120,2,42.35026,-71.143613,10.6537594837127
"143","Allston/Brighton",7741566,26956083,"Private room",14,5,77,2,42.3590427777778,-71.1415062222222,10.6537594837127
"144","Allston/Brighton",8758450,45928495,"Private room",3,5,90,1,42.347378,-71.137227,10.6537594837127
"145","Allston/Brighton",1902160,3609519,"Private room",16,4.9,73,2,42.349088,-71.1354341428571,10.6537594837127
"146","Allston/Brighton",15129089,39949707,"Private room",8,5,49,2,42.350036,-71.146181,10.6537594837127
"147","Allston/Brighton",1912940,8023405,"Entire home/apt",60,4.5,135,2,42.338433,-71.150558,10.6537594837127
"148","Allston/Brighton",5762866,29899026,"Entire home/apt",5,5,130,2,42.358118,-71.130914,10.6537594837127
"149","Allston/Brighton",2660992,757253,"Private room",44,4.5,115,2,42.353538,-71.120289,10.6537594837127
"150","Allston/Brighton",2672058,13565868,"Private room",6,4.6,80,2,42.353218,-71.132272,10.6537594837127
